Text1,Text2,Generated Same Causal Variable,Predicted Same Causal Variable,Generated Variable Name,Predicted Variable Name,Data Generation Model,Prediction Model,Domain,Explanation
Historic preservation initiatives,State-of-the-art hospitals,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Violent crime hotspots,Manufacturing district,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,
Tech startups hub,Low crime neighborhoods,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Urban core with high-rise buildings,International cuisine restaurants,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,"1, 1, 0, NaN, NaN, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0."
Revitalization of waterfront areas,Multicultural festivals,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,
Financial services center,Sparse residential areas,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Revitalization of waterfront areas,High burglary areas,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,urban studies,
Vacuum fluctuations,Quantum chromodynamics,True,,Quantum field theory,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Kinetic energy,Potential energy,True,True,Energy of motion,Energy,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Electric field,Magnetic field,True,False,Electromagnetic interactions,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Mechanical energy,Thermal energy,True,False,Energy of motion,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Muon,Lepton,True,,Fundamental particles,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,"
Heat transfer,Adiabatic expansion,True,False,Thermodynamic processes,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Resonance,Interference,True,True,Wave phenomena,Wave Interference,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Electromagnetic radiation,Electric field,True,True,Electromagnetic interactions,Electromagnetic radiation,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Work done,Entropy change,True,,Thermodynamic processes,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"1, 1, 0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0."
Quantum electrodynamics,Feynman diagrams,True,,Quantum field theory,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Entanglement,Potential energy,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Dispersion,Magnetic field,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Renormalization,Lepton,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Wave-particle duality,Adiabatic expansion,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Gluon,Quantum electrodynamics,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Decoherence,Interference,False,True,,Quantum coherence,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Photon,Electric field,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Kinetic energy,Entropy change,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,
Potential energy,Length contraction,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Electric field,Fusion,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,physics,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Adequately Hydrated,Thirsty,True,True,Hydration Status,Dehydration,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Teetotaler,Social Drinker,True,True,Alcohol Consumption,Alcohol Consumption,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Dehydrated,Over-hydrated,True,True,Hydration Status,Hydration Level,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Heavy Drinker,Teetotaler,True,True,Alcohol Consumption,Alcohol Consumption,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Regular Gym Goer,Yoga Practitioner,True,True,Physical Activity Level,Physical Activity,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Vegan,Mediterranean,True,True,Dietary Preference,Diet,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Friendship Circle,Family-Centric,True,True,Social Support,Social Support,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Tanned,Sunscreen User,True,False,Sun Exposure,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Paleo,Fast Food Lover,True,,Dietary Preference,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,"1, 1, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,"
Insomniac,Napper,True,False,Sleep Quality,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Screen Addict,Thirsty,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Chain Smoker,Social Drinker,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Tanned,Adequately Hydrated,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Exercise,Over-hydrated,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Insomniac,Teetotaler,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Limited User,Yoga Practitioner,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Meditation,Mediterranean,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Screen Addict,Dehydrated,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Tech Detoxer,Family-Centric,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Marathon Runner,Friendship Circle,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,health,
Temperature Mapping,Stable Temperature,True,,Temperature Control,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Reworked Wafers,Defect-Free Wafers,True,,Process Yield,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, True, 'Defect-Free Wafers', NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Scheduled Maintenance,Continuous Operation,True,,Equipment Utilization,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Continuous Operation,Tool Calibration,True,,Equipment Utilization,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"0, 0, 0, NaN, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
Under Etching,Uniform Etching,True,,Etch Rate,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Scrapped Wafers,Reworked Wafers,True,,Process Yield,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Flat Wafers,Convex Wafers,True,True,Wafer Bow,Wafer Geometry,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,
Chemical Contamination,Particle Contamination,True,,Cleanroom Contamination,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"1, 1, 1, 1, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Flat Wafers,Concave Wafers,True,True,Wafer Bow,Wafer Geometry,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,
Over Etching,Uniform Etching,True,,Etch Rate,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Uniform Etching,Stable Temperature,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Particle Contamination,Defect-Free Wafers,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Flat Wafers,Continuous Operation,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Over-Dose,Edge Exclusion,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,"
Scrapped Wafers,Uniform Etching,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Defect-Free Wafers,Over Etching,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Over-Dose,Strong Adhesion,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,"0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN,"
Stable Temperature,Reworked Wafers,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5
Temperature Mapping,Convex Wafers,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Thickness Variability,Particle Contamination,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,semiconductor manufacturing,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
Logarithmic Time,Linear Time,True,True,Algorithm Complexity,Time Complexity,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
Key-Value,NoSQL,True,,Database Model,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,"1, 0, 0, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0."
Ransomware,Social Engineering,True,False,Cybersecurity Threat,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
Scrum,Agile,True,,Software Development Methodology,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,"1, 1, True, ""Project Management Methodology"", NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN"
Agile,DevOps,True,False,Software Development Methodology,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
Real-Time,Distributed,True,False,Operating System,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
Queue,Tree,True,False,Data Structure,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
Distributed,Embedded,True,False,Operating System,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
FaaS,DaaS,True,True,Cloud Computing Service Model,Cloud Service Model,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
DaaS,PaaS,True,True,Cloud Computing Service Model,Cloud Computing Services,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
UDP,NoSQL,False,,,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,"
Embedded,Social Engineering,False,False,,,gpt-3.5-turbo,lora_70b_en_v0_alt,computer science,
