Value,Variable definition,Interaction Value,model Name,domain,text1_text2_cos_sim_text-embedding-3-large
Inner-city crime,"['Inner-city area', 'Crime level']",True,mixtral-8x22b-instruct,sociology,0.59
Urban inequality,"['Level of urbanization', 'Inequality level']",True,mixtral-8x22b-instruct,sociology,0.497
Rural education,"['Level of rurality', 'Education level']",True,mixtral-8x22b-instruct,sociology,0.496
Suburban diversity,"['Suburban area', 'Diversity level']",True,mixtral-8x22b-instruct,sociology,0.659
Suburban wealth,"['Suburban area', 'Wealth level']",True,mixtral-8x22b-instruct,sociology,0.664
Rural migration,"['Level of rurality', 'Migration level']",True,mixtral-8x22b-instruct,sociology,0.566
Inner-city segregation,"['Inner-city area', 'Segregation level']",True,mixtral-8x22b-instruct,sociology,0.651
Rural unemployment,"['Level of rurality', 'Unemployment level']",True,mixtral-8x22b-instruct,sociology,0.577
Urban poverty,"['Suburban area', 'Wealth level']",False,mixtral-8x22b-instruct,sociology,0.386
Urban gentrification,"['Suburban area', 'Diversity level']",False,mixtral-8x22b-instruct,sociology,0.358
Inner-city crime,"['Inner-city area', 'Segregation level']",False,mixtral-8x22b-instruct,sociology,0.485
Urban inequality,"['Level of rurality', 'Education level']",False,mixtral-8x22b-instruct,sociology,0.298
Urban gentrification,"['Inner-city area', 'Segregation level']",False,mixtral-8x22b-instruct,sociology,0.415
Suburban diversity,"['Level of rurality', 'Unemployment level']",False,mixtral-8x22b-instruct,sociology,0.257
Suburban diversity,"['Level of rurality', 'Migration level']",False,mixtral-8x22b-instruct,sociology,0.294
Rural migration,"['Inner-city area', 'Crime level']",False,mixtral-8x22b-instruct,sociology,0.175
Inner-city crime,"['Suburban area', 'Wealth level']",False,mixtral-8x22b-instruct,sociology,0.339
Suburban diversity,"['Inner-city area', 'Crime level']",False,mixtral-8x22b-instruct,sociology,0.29
Growth mindset and resilience,"['Mindset type', 'Resilience level']",True,mixtral-8x22b-instruct,psychology,0.598
Negative self-talk and low self-esteem,"['Self-talk type', 'Self-esteem level']",True,mixtral-8x22b-instruct,psychology,0.549
Cognitive distortions and negative thinking,"['Cognitive distortions level', 'Negative thinking level']",True,mixtral-8x22b-instruct,psychology,0.643
Perfectionism and fear of failure,"['Perfectionism level', 'Fear of failure level']",True,mixtral-8x22b-instruct,psychology,0.654
Chronic stress and anxiety,"['Stress level', 'Anxiety level']",True,mixtral-8x22b-instruct,psychology,0.457
Mindfulness and emotional regulation,"['Mindfulness level', 'Emotional regulation ability']",True,mixtral-8x22b-instruct,psychology,0.692
Empathy and active listening,"['Empathy level', 'Active listening ability']",True,mixtral-8x22b-instruct,psychology,0.678
Positive reinforcement and motivation,"['Reinforcement type', 'Motivation level']",True,mixtral-8x22b-instruct,psychology,0.596
Self-compassion and self-forgiveness,"['Self-compassion level', 'Self-forgiveness level']",True,mixtral-8x22b-instruct,psychology,0.625
Social support and resilience,"['Social support level', 'Resilience level']",True,mixtral-8x22b-instruct,psychology,0.659
Growth mindset and resilience,"['Mindfulness level', 'Emotional regulation ability']",False,mixtral-8x22b-instruct,psychology,0.4
Negative self-talk and low self-esteem,"['Stress level', 'Anxiety level']",False,mixtral-8x22b-instruct,psychology,0.236
Cognitive distortions and negative thinking,"['Empathy level', 'Active listening ability']",False,mixtral-8x22b-instruct,psychology,0.238
Chronic stress and anxiety,"['Perfectionism level', 'Fear of failure level']",False,mixtral-8x22b-instruct,psychology,0.237
Mindfulness and emotional regulation,"['Self-compassion level', 'Self-forgiveness level']",False,mixtral-8x22b-instruct,psychology,0.298
Growth mindset and resilience,"['Stress level', 'Anxiety level']",False,mixtral-8x22b-instruct,psychology,0.226
Empathy and active listening,"['Mindfulness level', 'Emotional regulation ability']",False,mixtral-8x22b-instruct,psychology,0.328
Cognitive distortions and negative thinking,"['Self-talk type', 'Self-esteem level']",False,mixtral-8x22b-instruct,psychology,0.331
Positive reinforcement and motivation,"['Empathy level', 'Active listening ability']",False,mixtral-8x22b-instruct,psychology,0.259
Empathy and active listening,"['Reinforcement type', 'Motivation level']",False,mixtral-8x22b-instruct,psychology,0.174
Commodity futures contracts,"['Financial instrument', 'Underlying asset']",True,mixtral-8x22b-instruct,finance,0.391
Money market funds,"['Investment type', 'Market segment']",True,mixtral-8x22b-instruct,finance,0.333
Growth-oriented mutual funds,"['Investment type', 'Investment strategy']",True,mixtral-8x22b-instruct,finance,0.279
High-dividend stocks,"['Stock type', 'Dividend policy']",True,mixtral-8x22b-instruct,finance,0.5
Blue-chip stocks,"['Stock type', 'Company reputation']",True,mixtral-8x22b-instruct,finance,0.403
Small-cap value stocks,"['Stock type', 'Company size', 'Investment strategy']",True,mixtral-8x22b-instruct,finance,0.366
High-yield corporate bonds,"['Bond type', 'Bond risk']",True,mixtral-8x22b-instruct,finance,0.404
Real estate investment trusts (REITs),"['Investment type', 'Asset class']",True,mixtral-8x22b-instruct,finance,0.365
Emerging market equities,"['Equity type', 'Market type']",True,mixtral-8x22b-instruct,finance,0.433
Long-term government bonds,"['Bond type', 'Bond maturity']",True,mixtral-8x22b-instruct,finance,0.439
Commodity futures contracts,"['Bond type', 'Bond risk']",False,mixtral-8x22b-instruct,finance,0.227
Growth-oriented mutual funds,"['Investment type', 'Market segment']",False,mixtral-8x22b-instruct,finance,0.26
Commodity futures contracts,"['Stock type', 'Company size', 'Investment strategy']",False,mixtral-8x22b-instruct,finance,0.223
High-dividend stocks,"['Equity type', 'Market type']",False,mixtral-8x22b-instruct,finance,0.285
Money market funds,"['Equity type', 'Market type']",False,mixtral-8x22b-instruct,finance,0.315
Blue-chip stocks,"['Investment type', 'Market segment']",False,mixtral-8x22b-instruct,finance,0.293
Money market funds,"['Investment type', 'Investment strategy']",False,mixtral-8x22b-instruct,finance,0.268
Money market funds,"['Financial instrument', 'Underlying asset']",False,mixtral-8x22b-instruct,finance,0.28
Small-cap value stocks,"['Stock type', 'Dividend policy']",False,mixtral-8x22b-instruct,finance,0.314
High-yield corporate bonds,"['Stock type', 'Dividend policy']",False,mixtral-8x22b-instruct,finance,0.329
Urban Renewal,"['Economic Development', 'Housing Quality']",True,gpt-3.5-turbo,urban studies,0.345
Smart City Technology,"['Infrastructure', 'Data Management']",True,gpt-3.5-turbo,urban studies,0.337
Historic Preservation,"['Cultural Heritage', 'Tourism']",True,gpt-3.5-turbo,urban studies,0.333
Community Policing,"['Crime Prevention', 'Community Relations']",True,gpt-3.5-turbo,urban studies,0.513
Public Space Design,"['Social Inclusion', 'Aesthetics']",True,gpt-3.5-turbo,urban studies,0.341
Public Transportation,"['Accessibility', 'Environmental Sustainability']",True,gpt-3.5-turbo,urban studies,0.319
Mixed-Use Development,"['Urban Planning', 'Community Engagement']",True,gpt-3.5-turbo,urban studies,0.303
Green Spaces,"['Health and Well-being', 'Property Values']",True,gpt-3.5-turbo,urban studies,0.339
Gentrification,"['Socioeconomic Status', 'Housing Market']",True,gpt-3.5-turbo,urban studies,0.347
Disaster Resilience,"['Infrastructure', 'Emergency Response']",True,gpt-3.5-turbo,urban studies,0.432
Urban Renewal,"['Infrastructure', 'Emergency Response']",False,gpt-3.5-turbo,urban studies,0.227
Smart City Technology,"['Cultural Heritage', 'Tourism']",False,gpt-3.5-turbo,urban studies,0.185
Historic Preservation,"['Economic Development', 'Housing Quality']",False,gpt-3.5-turbo,urban studies,0.253
Community Policing,"['Cultural Heritage', 'Tourism']",False,gpt-3.5-turbo,urban studies,0.133
Public Space Design,"['Infrastructure', 'Data Management']",False,gpt-3.5-turbo,urban studies,0.25
Community Policing,"['Socioeconomic Status', 'Housing Market']",False,gpt-3.5-turbo,urban studies,0.16
Public Transportation,"['Infrastructure', 'Emergency Response']",False,gpt-3.5-turbo,urban studies,0.281
Historic Preservation,"['Infrastructure', 'Emergency Response']",False,gpt-3.5-turbo,urban studies,0.217
Community Policing,"['Infrastructure', 'Emergency Response']",False,gpt-3.5-turbo,urban studies,0.219
Historic Preservation,"['Accessibility', 'Environmental Sustainability']",False,gpt-3.5-turbo,urban studies,0.256
Elastic Collisions,"['Kinetic Energy', 'Momentum']",True,gpt-3.5-turbo,physics,0.376
Wave-Particle Duality,"['Wave Behavior', 'Particle Behavior']",True,gpt-3.5-turbo,physics,0.593
Conservation of Momentum,"['Linear Momentum', 'Angular Momentum']",True,gpt-3.5-turbo,physics,0.445
Electromagnetic Induction,"['Magnetic Field', 'Induced Electric Field']",True,gpt-3.5-turbo,physics,0.519
Nuclear Fusion,"['Temperature', 'Pressure']",True,gpt-3.5-turbo,physics,0.179
Gravitational Lensing,"['Massive Object', 'Light Deflection']",True,gpt-3.5-turbo,physics,0.523
Magnetic Induction,"['Electric Field', 'Magnetic Field']",True,gpt-3.5-turbo,physics,0.413
Photoelectric Effect,"['Frequency of Light', 'Electron Ejection']",True,gpt-3.5-turbo,physics,0.425
Energy Transfer,"['Kinetic Energy', 'Thermal Energy']",True,gpt-3.5-turbo,physics,0.385
Quantum Entanglement,"['Superposition', 'Spooky Action at a Distance']",True,gpt-3.5-turbo,physics,0.535
Elastic Collisions,"['Frequency of Light', 'Electron Ejection']",False,gpt-3.5-turbo,physics,0.276
Wave-Particle Duality,"['Frequency of Light', 'Electron Ejection']",False,gpt-3.5-turbo,physics,0.382
Electromagnetic Induction,"['Wave Behavior', 'Particle Behavior']",False,gpt-3.5-turbo,physics,0.21
Nuclear Fusion,"['Kinetic Energy', 'Thermal Energy']",False,gpt-3.5-turbo,physics,0.244
Gravitational Lensing,"['Superposition', 'Spooky Action at a Distance']",False,gpt-3.5-turbo,physics,0.263
Nuclear Fusion,"['Wave Behavior', 'Particle Behavior']",False,gpt-3.5-turbo,physics,0.206
Conservation of Momentum,"['Electric Field', 'Magnetic Field']",False,gpt-3.5-turbo,physics,0.205
Magnetic Induction,"['Temperature', 'Pressure']",False,gpt-3.5-turbo,physics,0.165
Photoelectric Effect,"['Massive Object', 'Light Deflection']",False,gpt-3.5-turbo,physics,0.288
Conservation of Momentum,"['Frequency of Light', 'Electron Ejection']",False,gpt-3.5-turbo,physics,0.193
Hormonal imbalance,"['Endocrine system', 'Reproductive health']",True,gpt-3.5-turbo,health,0.39
Neurotransmitter imbalance,"['Brain chemistry', 'Mood regulation']",True,gpt-3.5-turbo,health,0.497
Sleep quality,"['Sleep patterns', 'Energy levels']",True,gpt-3.5-turbo,health,0.511
Oxidative stress,"['Cellular damage', 'Antioxidant levels']",True,gpt-3.5-turbo,health,0.514
Stress response,"['Cortisol levels', 'Mental health']",True,gpt-3.5-turbo,health,0.392
Metabolic syndrome,"['Obesity', 'Insulin resistance']",True,gpt-3.5-turbo,health,0.444
Cardiovascular risk,"['Blood pressure', 'Cholesterol levels']",True,gpt-3.5-turbo,health,0.36
Bone mineral density,"['Bone health', 'Calcium absorption']",True,gpt-3.5-turbo,health,0.519
Gut microbiome dysbiosis,"['Digestive health', 'Immune function']",True,gpt-3.5-turbo,health,0.405
Chronic inflammation,"['Inflammatory status', 'Immune response']",True,gpt-3.5-turbo,health,0.459
Hormonal imbalance,"['Digestive health', 'Immune function']",False,gpt-3.5-turbo,health,0.247
Neurotransmitter imbalance,"['Digestive health', 'Immune function']",False,gpt-3.5-turbo,health,0.196
Sleep quality,"['Brain chemistry', 'Mood regulation']",False,gpt-3.5-turbo,health,0.258
Oxidative stress,"['Brain chemistry', 'Mood regulation']",False,gpt-3.5-turbo,health,0.294
Stress response,"['Cellular damage', 'Antioxidant levels']",False,gpt-3.5-turbo,health,0.287
Metabolic syndrome,"['Inflammatory status', 'Immune response']",False,gpt-3.5-turbo,health,0.24
Cardiovascular risk,"['Obesity', 'Insulin resistance']",False,gpt-3.5-turbo,health,0.301
Bone mineral density,"['Cortisol levels', 'Mental health']",False,gpt-3.5-turbo,health,0.252
Stress response,"['Inflammatory status', 'Immune response']",False,gpt-3.5-turbo,health,0.396
Oxidative stress,"['Cortisol levels', 'Mental health']",False,gpt-3.5-turbo,health,0.323
Metrology tool calibration,"['Process control accuracy', 'Device performance validation']",True,gpt-3.5-turbo,semiconductor manufacturing,0.466
Temperature fluctuation during etching,"['Etching process stability', 'Etch rate control']",True,gpt-3.5-turbo,semiconductor manufacturing,0.566
Chemical concentration monitoring,"['Wet cleaning process effectiveness', 'Surface preparation quality']",True,gpt-3.5-turbo,semiconductor manufacturing,0.284
Dopant diffusion profile,"['Ion implantation process', 'Junction depth control']",True,gpt-3.5-turbo,semiconductor manufacturing,0.477
Mask alignment accuracy,"['Patterning resolution', 'Overlay registration']",True,gpt-3.5-turbo,semiconductor manufacturing,0.359
Wafer surface contamination,"['Cleanroom environment quality', 'Device yield']",True,gpt-3.5-turbo,semiconductor manufacturing,0.405
Plasma chamber cleanliness,"['Etch selectivity', 'Uniformity of plasma processing']",True,gpt-3.5-turbo,semiconductor manufacturing,0.462
Gas flow rate adjustment,"['Gas delivery system efficiency', 'Film deposition uniformity']",True,gpt-3.5-turbo,semiconductor manufacturing,0.363
Wafer edge exclusion,"['Wafer yield optimization', 'Die placement strategy']",True,gpt-3.5-turbo,semiconductor manufacturing,0.462
Lithography alignment accuracy,"['Pattern overlay control', 'Critical dimension uniformity']",True,gpt-3.5-turbo,semiconductor manufacturing,0.403
Metrology tool calibration,"['Wet cleaning process effectiveness', 'Surface preparation quality']",False,gpt-3.5-turbo,semiconductor manufacturing,0.275
Temperature fluctuation during etching,"['Process control accuracy', 'Device performance validation']",False,gpt-3.5-turbo,semiconductor manufacturing,0.259
Chemical concentration monitoring,"['Wafer yield optimization', 'Die placement strategy']",False,gpt-3.5-turbo,semiconductor manufacturing,0.221
Dopant diffusion profile,"['Patterning resolution', 'Overlay registration']",False,gpt-3.5-turbo,semiconductor manufacturing,0.214
Mask alignment accuracy,"['Etch selectivity', 'Uniformity of plasma processing']",False,gpt-3.5-turbo,semiconductor manufacturing,0.259
Wafer surface contamination,"['Process control accuracy', 'Device performance validation']",False,gpt-3.5-turbo,semiconductor manufacturing,0.289
Gas flow rate adjustment,"['Ion implantation process', 'Junction depth control']",False,gpt-3.5-turbo,semiconductor manufacturing,0.187
Dopant diffusion profile,"['Etch selectivity', 'Uniformity of plasma processing']",False,gpt-3.5-turbo,semiconductor manufacturing,0.347
Chemical concentration monitoring,"['Gas delivery system efficiency', 'Film deposition uniformity']",False,gpt-3.5-turbo,semiconductor manufacturing,0.345
Dopant diffusion profile,"['Wafer yield optimization', 'Die placement strategy']",False,gpt-3.5-turbo,semiconductor manufacturing,0.267
Secure Communication,"['Data Encryption', 'Network Integrity']",True,gpt-3.5-turbo,computer science,0.432
Real-time Data Processing,"['Data Processing Speed', 'Data Processing Accuracy']",True,gpt-3.5-turbo,computer science,0.431
Adaptive Machine Learning,"['Model Flexibility', 'Learning Rate']",True,gpt-3.5-turbo,computer science,0.423
Efficient Code Execution,"['Code Performance', 'Resource Utilization']",True,gpt-3.5-turbo,computer science,0.419
Robust Data Security,"['Data Encryption Strength', 'Access Control Measures']",True,gpt-3.5-turbo,computer science,0.498
User-friendly Interface,"['Interface Design', 'Accessibility Features']",True,gpt-3.5-turbo,computer science,0.529
Efficient Resource Utilization,"['CPU Usage', 'Memory Allocation']",True,gpt-3.5-turbo,computer science,0.301
Scalable System Design,"['System Performance', 'System Flexibility']",True,gpt-3.5-turbo,computer science,0.387
Reliable Data Storage,"['Data Durability', 'Data Availability']",True,gpt-3.5-turbo,computer science,0.509
Optimized Algorithm Performance,"['Algorithm Efficiency', 'Algorithm Accuracy']",True,gpt-3.5-turbo,computer science,0.486
Secure Communication,"['Data Processing Speed', 'Data Processing Accuracy']",False,gpt-3.5-turbo,computer science,0.163
Real-time Data Processing,"['Code Performance', 'Resource Utilization']",False,gpt-3.5-turbo,computer science,0.32
Secure Communication,"['Code Performance', 'Resource Utilization']",False,gpt-3.5-turbo,computer science,0.17
Efficient Code Execution,"['Interface Design', 'Accessibility Features']",False,gpt-3.5-turbo,computer science,0.164
Robust Data Security,"['Data Durability', 'Data Availability']",False,gpt-3.5-turbo,computer science,0.392
Robust Data Security,"['Interface Design', 'Accessibility Features']",False,gpt-3.5-turbo,computer science,0.206
User-friendly Interface,"['System Performance', 'System Flexibility']",False,gpt-3.5-turbo,computer science,0.322
Efficient Resource Utilization,"['Data Encryption Strength', 'Access Control Measures']",False,gpt-3.5-turbo,computer science,0.168
Efficient Code Execution,"['CPU Usage', 'Memory Allocation']",False,gpt-3.5-turbo,computer science,0.214
Reliable Data Storage,"['Model Flexibility', 'Learning Rate']",False,gpt-3.5-turbo,computer science,0.211
Educational Attainment,"['Socioeconomic Status', 'Career Opportunities']",True,gpt-3.5-turbo,sociology,0.393
Environmental Awareness,"['Sustainable Practices', 'Community Resilience']",True,gpt-3.5-turbo,sociology,0.38
Health Behavior,"['Dietary Habits', 'Mental Well-being']",True,gpt-3.5-turbo,sociology,0.363
Family Dynamics,"['Parenting Style', 'Household Roles']",True,gpt-3.5-turbo,sociology,0.473
Political Activism,"['Political Ideology', 'Social Change']",True,gpt-3.5-turbo,sociology,0.422
Gender Equality,"['Workplace Discrimination', 'Household Responsibilities']",True,gpt-3.5-turbo,sociology,0.361
Community Engagement,"['Social Support', 'Civic Participation']",True,gpt-3.5-turbo,sociology,0.419
Cultural Integration,"['Identity Formation', 'Social Cohesion']",True,gpt-3.5-turbo,sociology,0.398
Technology Adoption,"['Digital Literacy', 'Communication Patterns']",True,gpt-3.5-turbo,sociology,0.356
Social Media Influence,"['Social Status', 'Consumer Behavior']",True,gpt-3.5-turbo,sociology,0.404
Educational Attainment,"['Dietary Habits', 'Mental Well-being']",False,gpt-3.5-turbo,sociology,0.237
Environmental Awareness,"['Social Status', 'Consumer Behavior']",False,gpt-3.5-turbo,sociology,0.23
Family Dynamics,"['Digital Literacy', 'Communication Patterns']",False,gpt-3.5-turbo,sociology,0.255
Health Behavior,"['Social Status', 'Consumer Behavior']",False,gpt-3.5-turbo,sociology,0.378
Educational Attainment,"['Parenting Style', 'Household Roles']",False,gpt-3.5-turbo,sociology,0.233
Health Behavior,"['Identity Formation', 'Social Cohesion']",False,gpt-3.5-turbo,sociology,0.243
Political Activism,"['Workplace Discrimination', 'Household Responsibilities']",False,gpt-3.5-turbo,sociology,0.249
Gender Equality,"['Socioeconomic Status', 'Career Opportunities']",False,gpt-3.5-turbo,sociology,0.288
Family Dynamics,"['Social Support', 'Civic Participation']",False,gpt-3.5-turbo,sociology,0.224
Educational Attainment,"['Social Support', 'Civic Participation']",False,gpt-3.5-turbo,sociology,0.296
Emotional Regulation,"['Anxiety', 'Relationship Satisfaction']",True,gpt-3.5-turbo,psychology,0.302
Perceived Control,"['Anxiety', 'Self-efficacy']",True,gpt-3.5-turbo,psychology,0.384
Mindfulness,"['Depression', 'Emotional Regulation']",True,gpt-3.5-turbo,psychology,0.298
Emotional Intelligence,"['Interpersonal Relationships', 'Stress Management']",True,gpt-3.5-turbo,psychology,0.376
Self-esteem,"['Depression', 'Life Satisfaction']",True,gpt-3.5-turbo,psychology,0.271
Social Support,"['Stress Level', 'Well-being']",True,gpt-3.5-turbo,psychology,0.303
Perceived Social Support,"['Loneliness', 'Self-esteem']",True,gpt-3.5-turbo,psychology,0.344
Coping Strategies,"['Anxiety', 'Resilience']",True,gpt-3.5-turbo,psychology,0.393
Resilience,"['Stress', 'Mental Health']",True,gpt-3.5-turbo,psychology,0.302
Empathy,"['Relationship Satisfaction', 'Conflict Resolution']",True,gpt-3.5-turbo,psychology,0.19
Perceived Control,"['Anxiety', 'Resilience']",False,gpt-3.5-turbo,psychology,0.288
Mindfulness,"['Stress', 'Mental Health']",False,gpt-3.5-turbo,psychology,0.33
Emotional Intelligence,"['Stress', 'Mental Health']",False,gpt-3.5-turbo,psychology,0.268
Self-esteem,"['Anxiety', 'Resilience']",False,gpt-3.5-turbo,psychology,0.271
Mindfulness,"['Stress Level', 'Well-being']",False,gpt-3.5-turbo,psychology,0.265
Mindfulness,"['Loneliness', 'Self-esteem']",False,gpt-3.5-turbo,psychology,0.215
Emotional Intelligence,"['Loneliness', 'Self-esteem']",False,gpt-3.5-turbo,psychology,0.309
Social Support,"['Stress', 'Mental Health']",False,gpt-3.5-turbo,psychology,0.299
Perceived Social Support,"['Stress', 'Mental Health']",False,gpt-3.5-turbo,psychology,0.269
Coping Strategies,"['Stress Level', 'Well-being']",False,gpt-3.5-turbo,psychology,0.317
Inflation Rate,"['Purchasing Power', 'Interest Rates']",True,gpt-3.5-turbo,finance,0.408
Credit Rating,"['Borrowing Costs', 'Investor Confidence']",True,gpt-3.5-turbo,finance,0.341
Government Policy,"['Tax Revenues', 'Regulatory Environment']",True,gpt-3.5-turbo,finance,0.382
Global Trade Tensions,"['Supply Chain Costs', 'Market Uncertainty']",True,gpt-3.5-turbo,finance,0.421
Market Volatility,"['Market Risk', 'Investor Sentiment']",True,gpt-3.5-turbo,finance,0.534
Foreign Exchange Rate,"['Import Costs', 'Export Competitiveness']",True,gpt-3.5-turbo,finance,0.362
Economic Recession,"['Unemployment Rate', 'Consumer Spending']",True,gpt-3.5-turbo,finance,0.328
Corporate Earnings,"['Stock Prices', 'Dividend Payments']",True,gpt-3.5-turbo,finance,0.412
Interest Rate Hike,"['Bond Prices', 'Cost of Borrowing']",True,gpt-3.5-turbo,finance,0.394
Technological Innovation,"['Industry Disruption', 'Competitive Advantage']",True,gpt-3.5-turbo,finance,0.356
Credit Rating,"['Market Risk', 'Investor Sentiment']",False,gpt-3.5-turbo,finance,0.242
Government Policy,"['Borrowing Costs', 'Investor Confidence']",False,gpt-3.5-turbo,finance,0.189
Credit Rating,"['Supply Chain Costs', 'Market Uncertainty']",False,gpt-3.5-turbo,finance,0.186
Global Trade Tensions,"['Market Risk', 'Investor Sentiment']",False,gpt-3.5-turbo,finance,0.304
Market Volatility,"['Supply Chain Costs', 'Market Uncertainty']",False,gpt-3.5-turbo,finance,0.408
Inflation Rate,"['Stock Prices', 'Dividend Payments']",False,gpt-3.5-turbo,finance,0.267
Credit Rating,"['Unemployment Rate', 'Consumer Spending']",False,gpt-3.5-turbo,finance,0.238
Global Trade Tensions,"['Industry Disruption', 'Competitive Advantage']",False,gpt-3.5-turbo,finance,0.304
Global Trade Tensions,"['Tax Revenues', 'Regulatory Environment']",False,gpt-3.5-turbo,finance,0.346
Foreign Exchange Rate,"['Industry Disruption', 'Competitive Advantage']",False,gpt-3.5-turbo,finance,0.15
Public Wi-Fi networks,"['Digital inclusion', 'Economic development']",True,gpt-4-turbo,urban studies,0.238
Historic preservation regulations,"['Cultural heritage', 'Regulatory frameworks']",True,gpt-4-turbo,urban studies,0.378
Community policing initiatives,"['Public safety', 'Community engagement']",True,gpt-4-turbo,urban studies,0.457
Mixed-use development projects,"['Urban planning', 'Economic development']",True,gpt-4-turbo,urban studies,0.423
Urban farming initiatives,"['Food security', 'Environmental sustainability']",True,gpt-4-turbo,urban studies,0.389
Public transportation expansion,"['Infrastructure development', 'Environmental sustainability']",True,gpt-4-turbo,urban studies,0.339
Pedestrian-friendly street redesign,"['Urban design', 'Public health']",True,gpt-4-turbo,urban studies,0.396
Smart city technology implementation,"['Technological advancement', 'Governance']",True,gpt-4-turbo,urban studies,0.379
Flood-resistant urban design,"['Climate adaptation', 'Urban planning']",True,gpt-4-turbo,urban studies,0.436
Green roof installations,"['Environmental sustainability', 'Building standards']",True,gpt-4-turbo,urban studies,0.346
Public Wi-Fi networks,"['Food security', 'Environmental sustainability']",False,gpt-4-turbo,urban studies,0.162
Historic preservation regulations,"['Urban planning', 'Economic development']",False,gpt-4-turbo,urban studies,0.188
Community policing initiatives,"['Food security', 'Environmental sustainability']",False,gpt-4-turbo,urban studies,0.212
Mixed-use development projects,"['Urban design', 'Public health']",False,gpt-4-turbo,urban studies,0.343
Urban farming initiatives,"['Urban design', 'Public health']",False,gpt-4-turbo,urban studies,0.331
Public transportation expansion,"['Food security', 'Environmental sustainability']",False,gpt-4-turbo,urban studies,0.177
Pedestrian-friendly street redesign,"['Infrastructure development', 'Environmental sustainability']",False,gpt-4-turbo,urban studies,0.249
Smart city technology implementation,"['Urban planning', 'Economic development']",False,gpt-4-turbo,urban studies,0.352
Mixed-use development projects,"['Technological advancement', 'Governance']",False,gpt-4-turbo,urban studies,0.173
Flood-resistant urban design,"['Cultural heritage', 'Regulatory frameworks']",False,gpt-4-turbo,urban studies,0.19
solar wind interaction with Earth's magnetosphere,"['Solar activity', 'Geomagnetic effects']",True,gpt-4-turbo,physics,0.421
nuclear fusion in stars,"['Nuclear reactions', 'Stellar energy output']",True,gpt-4-turbo,physics,0.481
gravitational lensing,"['Gravitational force', 'Light propagation']",True,gpt-4-turbo,physics,0.375
black hole evaporation,"['Black hole properties', 'Quantum effects']",True,gpt-4-turbo,physics,0.479
semiconductor doping,"['Material conductivity', 'Material composition']",True,gpt-4-turbo,physics,0.222
gamma-ray burst emissions,"['High-energy astrophysical phenomena', 'Stellar evolution']",True,gpt-4-turbo,physics,0.381
superconductivity,"['Electrical resistance', 'Material phase']",True,gpt-4-turbo,physics,0.285
elastic collision of particles,"['Momentum conservation', 'Kinetic energy conservation']",True,gpt-4-turbo,physics,0.421
photoelectric effect,"['Electromagnetic radiation interaction', 'Electron emission']",True,gpt-4-turbo,physics,0.395
thermoelectric cooling,"['Heat transfer', 'Electrical effects']",True,gpt-4-turbo,physics,0.369
solar wind interaction with Earth's magnetosphere,"['Gravitational force', 'Light propagation']",False,gpt-4-turbo,physics,0.237
nuclear fusion in stars,"['Electrical resistance', 'Material phase']",False,gpt-4-turbo,physics,0.099
gravitational lensing,"['Solar activity', 'Geomagnetic effects']",False,gpt-4-turbo,physics,0.193
semiconductor doping,"['High-energy astrophysical phenomena', 'Stellar evolution']",False,gpt-4-turbo,physics,0.15
superconductivity,"['Solar activity', 'Geomagnetic effects']",False,gpt-4-turbo,physics,0.167
gravitational lensing,"['Material conductivity', 'Material composition']",False,gpt-4-turbo,physics,0.07
semiconductor doping,"['Gravitational force', 'Light propagation']",False,gpt-4-turbo,physics,0.129
elastic collision of particles,"['Heat transfer', 'Electrical effects']",False,gpt-4-turbo,physics,0.185
semiconductor doping,"['Nuclear reactions', 'Stellar energy output']",False,gpt-4-turbo,physics,0.153
solar wind interaction with Earth's magnetosphere,"['Material conductivity', 'Material composition']",False,gpt-4-turbo,physics,0.115
allergy immunotherapy,"['Treatment method', 'Health condition addressed']",True,gpt-4-turbo,health,0.254
prenatal yoga classes,"['Exercise type', 'Target demographic']",True,gpt-4-turbo,health,0.215
pediatric vaccination program,"['Preventive healthcare', 'Target demographic']",True,gpt-4-turbo,health,0.324
diabetic diet plan,"['Disease management', 'Nutritional strategy']",True,gpt-4-turbo,health,0.338
smoking cessation counseling,"['Healthcare intervention', 'Risk factor modification']",True,gpt-4-turbo,health,0.346
breast cancer screening mammography,"['Diagnostic procedure', 'Health condition monitored']",True,gpt-4-turbo,health,0.268
osteoporosis bone density screening,"['Diagnostic procedure', 'Health condition monitored']",True,gpt-4-turbo,health,0.266
mental health support group,"['Healthcare intervention', 'Psychological condition management']",True,gpt-4-turbo,health,0.415
cardiovascular fitness training,"['Exercise type', 'Health outcome improvement']",True,gpt-4-turbo,health,0.322
stress management workshop,"['Healthcare intervention', 'Psychological condition management']",True,gpt-4-turbo,health,0.357
allergy immunotherapy,"['Healthcare intervention', 'Risk factor modification']",False,gpt-4-turbo,health,0.24
prenatal yoga classes,"['Healthcare intervention', 'Risk factor modification']",False,gpt-4-turbo,health,0.157
pediatric vaccination program,"['Exercise type', 'Target demographic']",False,gpt-4-turbo,health,0.147
diabetic diet plan,"['Treatment method', 'Health condition addressed']",False,gpt-4-turbo,health,0.19
smoking cessation counseling,"['Exercise type', 'Health outcome improvement']",False,gpt-4-turbo,health,0.192
breast cancer screening mammography,"['Healthcare intervention', 'Risk factor modification']",False,gpt-4-turbo,health,0.284
